Time  Force
10.107  37.0
10.122  37.0
10.141  37.0
10.154  37.0
10.173  37.0
10.188  37.0
10.208  37.0
10.221  37.0
10.24  37.0
10.254  37.0
10.272  37.0
10.288  37.0
10.306  37.0
10.328  37.0
10.341  37.0
10.355  37.0
10.373  37.0
10.39  37.0
10.405  37.0
10.422  37.0
10.439  37.0
10.455  37.0
10.474  37.0
10.487  37.0
10.507  37.0
10.521  37.0
10.541  37.0
10.554  37.0
10.571  37.0
10.589  37.0
10.605  37.0
10.623  37.0
10.64  37.0
10.655  37.0
10.671  37.0
10.688  37.0
10.705  37.0
10.724  37.0
10.738  37.0
10.756  37.0
10.773  37.0
10.792  37.0
10.806  37.0
10.822  37.0
10.846  37.0
10.856  37.0
10.874  37.0
10.891  38.0
10.906  38.0
10.924  38.0
10.941  38.0
10.957  38.0
10.972  38.0
10.991  38.0
11.006  38.0
11.025  38.0
11.039  38.0
11.058  38.0
11.073  38.0
11.091  37.0
11.106  37.0
11.125  37.0
11.139  37.0
11.157  37.0
11.175  37.0
11.189  37.0
11.208  37.0
11.223  37.0
11.24  37.0
11.258  38.0
11.274  38.0
11.291  38.0
11.308  38.0
11.323  38.0
11.346  38.0
11.358  38.0
11.377  38.0
11.389  38.0
11.406  38.0
11.424  38.0
11.441  38.0
11.458  38.0
11.475  37.0
11.491  37.0
11.508  37.0
11.528  37.0
11.544  37.0
11.557  37.0
11.575  37.0
11.59  37.0
11.608  37.0
11.622  37.0
11.642  37.0
11.656  37.0
11.675  37.0
11.69  37.0
11.713  37.0
11.727  37.0
11.748  37.0
11.765  37.0
11.79  37.0
11.807  37.0
11.821  37.0
11.839  37.0
11.861  37.0
11.882  950.0
11.899  950.0
11.916  950.0
11.934  950.0
11.95  950.0
11.966  950.0
11.984  950.0
12.0  950.0
12.017  950.0
12.033  950.0
12.051  950.0
12.067  950.0
12.083  956.0
12.099  956.0
12.115  956.0
12.134  956.0
12.151  956.0
12.167  956.0
12.183  956.0
12.201  956.0
12.217  956.0
12.233  956.0
12.25  956.0
12.268  956.0
12.283  961.0
12.299  961.0
12.316  961.0
12.333  961.0
12.351  961.0
12.374  961.0
12.382  961.0
12.4  961.0
12.416  961.0
12.432  961.0
12.45  961.0
12.467  961.0
12.483  964.0
12.499  964.0
12.517  964.0
12.533  964.0
12.551  964.0
12.567  964.0
12.583  964.0
12.6  964.0
12.617  964.0
12.633  964.0
12.652  964.0
12.668  964.0
12.685  968.0
12.703  968.0
12.716  968.0
12.734  968.0
12.75  968.0
12.768  968.0
12.787  968.0
12.8  968.0
12.817  968.0
12.837  968.0
12.851  968.0
12.867  968.0
12.893  972.0
12.901  972.0
12.92  972.0
12.935  972.0
12.953  972.0
12.971  972.0
12.987  972.0
13.002  972.0
13.019  972.0
13.036  972.0
13.055  972.0
13.071  972.0
13.086  981.0
13.104  981.0
13.118  981.0
13.138  981.0
13.152  981.0
13.171  981.0
13.188  981.0
13.206  981.0
13.22  981.0
13.238  981.0
13.258  981.0
13.278  988.0
13.299  988.0
13.316  988.0
13.33  988.0
13.345  988.0
13.362  988.0
13.38  988.0
13.408  988.0
13.426  988.0
13.435  988.0
13.455  988.0
13.48  987.0
13.494  987.0
13.506  987.0
13.524  987.0
13.54  987.0
13.565  987.0
13.583  987.0
13.599  987.0
13.611  987.0
13.628  987.0
13.667  987.0
13.683  987.0
13.703  987.0
13.725  987.0
13.744  987.0
13.763  987.0
13.777  987.0
13.8  987.0
13.817  987.0
13.828  987.0
13.847  987.0
13.862  987.0
13.89  990.0
13.9  990.0
13.926  990.0
13.938  990.0
13.957  990.0
13.98  990.0
13.993  990.0
14.008  990.0
14.025  990.0
14.044  990.0
14.06  990.0
14.078  991.0
14.094  991.0
14.112  991.0
14.134  991.0
14.146  991.0
14.16  991.0
14.179  991.0
14.196  991.0
14.212  991.0
14.235  991.0
14.246  991.0
14.261  991.0
14.282  37.0
14.301  37.0
14.314  37.0
14.344  37.0
14.376  37.0
14.39  37.0
14.404  37.0
14.419  37.0
14.44  37.0
14.453  37.0
14.48  37.0
14.488  37.0
14.506  37.0
14.525  37.0
14.546  37.0
14.559  37.0
14.573  37.0
14.592  37.0
14.605  37.0
14.63  37.0
14.642  37.0
14.663  37.0
14.682  37.0
14.69  37.0
14.71  37.0
14.724  37.0
14.741  37.0
14.757  37.0
14.774  37.0
14.793  37.0
14.808  37.0
14.824  37.0
14.841  37.0
14.859  37.0
14.881  38.0
14.891  38.0
14.908  38.0
14.93  38.0
14.953  38.0
14.972  38.0
14.983  38.0
15.001  38.0
15.018  38.0
15.034  38.0
15.051  38.0
15.067  38.0
15.086  38.0
15.105  38.0
15.118  38.0
15.134  38.0
15.154  38.0
15.167  38.0
15.183  38.0
15.201  38.0
15.219  38.0
15.234  38.0
15.252  38.0
15.268  38.0
15.285  37.0
15.3  37.0
15.32  37.0
15.333  37.0
15.35  37.0
15.367  37.0
15.385  37.0
15.401  37.0
15.416  37.0
15.435  37.0
15.45  37.0
15.477  37.0
15.486  37.0
15.504  37.0
15.53  37.0
15.542  37.0
15.557  37.0
15.573  37.0
15.589  37.0
15.606  37.0
15.623  37.0
15.64  37.0
15.657  37.0
15.678  37.0
15.696  37.0
15.707  37.0
15.724  37.0
15.743  37.0
15.764  37.0
15.777  37.0
15.796  37.0
15.812  37.0
15.834  37.0
15.846  37.0
15.868  37.0
15.889  37.0
15.904  37.0
15.921  37.0
15.937  37.0
15.954  37.0
15.969  37.0
15.986  37.0
16.02  37.0
16.029  37.0
16.046  37.0
16.062  37.0
16.084  37.0
16.098  37.0
16.123  37.0
16.143  37.0
16.15  37.0
16.173  37.0
16.184  37.0
16.204  37.0
16.219  37.0
16.235  37.0
16.253  37.0
16.268  37.0
16.285  37.0
16.307  37.0
16.318  37.0
16.335  37.0
16.353  37.0
16.371  37.0
16.39  37.0
16.404  37.0
16.418  37.0
16.437  37.0
16.457  37.0
16.475  37.0
16.49  37.0
16.506  37.0
16.529  37.0
16.545  37.0
16.566  37.0
16.578  37.0
16.593  37.0
16.61  37.0
16.627  37.0
16.644  37.0
16.66  37.0
16.678  37.0
16.694  37.0
16.71  37.0
16.726  37.0
16.743  37.0
16.758  37.0
16.778  37.0
16.793  37.0
16.81  37.0
16.827  37.0
16.849  37.0
16.86  37.0
16.875  37.0
16.894  37.0
16.911  37.0
16.927  37.0
16.944  37.0
16.96  37.0
16.977  37.0
16.994  37.0
17.013  37.0
17.028  37.0
17.043  37.0
17.061  37.0
17.076  37.0
17.094  38.0
17.11  38.0
17.126  38.0
17.143  38.0
17.161  38.0
17.176  38.0
17.193  38.0
17.209  38.0
17.227  38.0
17.242  38.0
17.261  38.0
17.276  38.0
17.295  37.0
17.31  37.0
17.326  37.0
17.343  37.0
17.36  37.0
17.377  37.0
17.393  37.0
17.41  37.0
17.427  37.0
17.445  37.0
17.46  37.0
17.476  37.0
17.493  37.0
17.509  37.0
17.53  37.0
17.545  37.0
17.559  37.0
17.576  37.0
17.593  37.0
17.609  37.0
17.631  37.0
17.642  37.0
17.66  37.0
17.677  37.0
17.694  37.0
17.709  37.0
17.726  37.0
17.743  37.0
17.76  37.0
17.777  37.0
17.797  37.0
17.811  37.0
17.825  37.0
17.844  37.0
17.86  37.0
17.878  37.0
17.894  36.0
17.91  36.0
17.927  36.0
17.943  36.0
17.961  36.0
17.978  36.0
17.994  36.0
18.011  36.0
18.027  36.0
18.05  36.0
18.061  36.0
18.076  36.0
18.095  37.0
18.11  37.0
18.126  37.0
18.143  37.0
18.16  37.0
18.177  37.0
18.194  37.0
18.21  37.0
18.226  37.0
18.244  37.0
18.263  37.0
18.276  37.0
18.293  37.0
18.31  37.0
18.327  37.0
18.344  37.0
18.36  37.0
18.377  37.0
18.394  37.0
18.41  37.0
18.427  37.0
18.444  37.0
18.461  37.0
18.478  37.0
18.495  36.0
18.51  36.0
18.526  36.0
18.546  36.0
18.563  36.0
18.576  36.0
18.593  36.0
18.611  36.0
18.626  36.0
18.644  36.0
18.66  36.0
18.677  36.0
18.694  926.0
18.71  926.0
18.728  926.0
18.744  926.0
18.76  926.0
18.777  926.0
18.795  926.0
18.81  926.0
18.827  926.0
18.844  926.0
18.861  926.0
18.877  926.0
18.894  928.0
18.91  928.0
18.927  928.0
18.945  928.0
18.96  928.0
18.976  928.0
18.995  928.0
19.009  928.0
19.028  928.0
19.044  928.0
19.068  928.0
19.08  928.0
19.097  927.0
19.112  927.0
19.13  927.0
19.145  927.0
19.162  927.0
19.178  927.0
19.195  927.0
19.212  927.0
19.229  927.0
19.245  927.0
19.262  927.0
19.279  927.0
19.295  929.0
19.312  929.0
19.329  929.0
19.346  929.0
19.361  929.0
19.378  929.0
19.395  929.0
19.411  929.0
19.428  929.0
19.446  929.0
19.461  929.0
19.479  929.0
19.495  928.0
19.512  928.0
19.528  928.0
19.546  928.0
19.561  928.0
19.582  928.0
19.598  928.0
19.612  928.0
19.629  928.0
19.645  928.0
19.663  928.0
19.678  928.0
19.696  930.0
19.711  930.0
19.728  930.0
19.744  930.0
19.762  930.0
19.779  930.0
19.795  930.0
19.812  930.0
19.831  930.0
19.845  930.0
19.862  930.0
19.88  930.0
19.896  934.0
19.911  934.0
19.928  934.0
19.945  934.0
19.962  934.0
19.979  934.0
19.995  934.0
20.012  934.0
20.028  934.0
20.045  934.0
20.062  934.0
20.078  934.0
20.1  936.0
20.113  936.0
20.129  936.0
20.144  936.0
20.161  936.0
20.178  936.0
20.194  936.0
20.211  936.0
20.229  936.0
20.246  936.0
20.262  936.0
20.278  936.0
20.295  938.0
20.312  938.0
20.329  938.0
20.346  938.0
20.361  938.0
20.379  938.0
20.396  938.0
20.41  938.0
20.429  938.0
20.446  938.0
20.462  938.0
20.479  938.0
20.495  941.0
20.513  941.0
20.528  941.0
20.546  941.0
20.562  941.0
20.578  941.0
20.597  941.0
20.615  941.0
20.629  941.0
20.645  941.0
20.662  941.0
20.678  941.0
20.696  945.0
20.711  945.0
20.728  945.0
20.745  945.0
20.765  945.0
20.778  945.0
20.795  945.0
20.812  945.0
20.829  945.0
20.845  945.0
20.862  945.0
20.878  945.0
20.896  958.0
20.912  958.0
20.928  958.0
20.946  958.0
20.963  958.0
20.978  958.0
20.995  958.0
21.012  958.0
21.029  958.0
21.046  958.0
21.062  958.0
21.079  958.0
21.096  968.0
21.115  968.0
21.129  968.0
21.144  968.0
21.162  968.0
21.179  968.0
21.196  968.0
21.212  968.0
21.229  968.0
21.245  968.0
21.262  968.0
21.279  968.0
21.296  40.0
21.312  40.0
21.328  40.0
21.345  40.0
21.362  40.0
21.378  40.0
21.395  40.0
21.412  40.0
21.428  40.0
21.445  40.0
21.462  40.0
21.478  40.0
21.494  40.0
21.513  40.0
21.528  40.0
21.545  40.0
21.562  40.0
21.579  40.0
21.595  40.0
21.613  40.0
21.632  40.0
21.645  40.0
21.661  40.0
21.679  40.0
21.696  39.0
21.711  39.0
21.729  39.0
21.746  39.0
21.762  39.0
21.778  39.0
21.795  39.0
21.813  39.0
21.834  39.0
21.845  39.0
21.861  39.0
21.878  39.0
21.895  40.0
21.912  40.0
21.929  40.0
21.944  40.0
21.963  40.0
21.978  40.0
21.996  40.0
22.012  40.0
22.028  40.0
22.045  40.0
22.061  40.0
22.079  40.0
22.096  40.0
22.111  40.0
22.132  40.0
22.145  40.0
22.161  40.0
22.178  40.0
22.196  40.0
22.212  40.0
22.229  40.0
22.245  40.0
22.262  40.0
22.279  40.0
22.296  40.0
22.312  40.0
22.328  40.0
22.346  40.0
22.362  40.0
22.379  40.0
22.396  40.0
22.413  40.0
22.428  40.0
22.445  40.0
22.462  40.0
22.48  40.0
22.496  40.0
22.511  40.0
22.528  40.0
22.545  40.0
22.562  40.0
22.579  40.0
22.595  40.0
22.612  40.0
22.63  40.0
22.655  40.0
22.677  40.0
22.69  40.0
22.705  40.0
22.722  40.0
22.739  40.0
22.759  40.0
22.772  40.0
22.789  40.0
22.807  40.0
22.822  40.0
22.841  40.0
22.856  40.0
22.872  40.0
22.89  40.0
22.907  40.0
22.922  40.0
22.938  40.0
22.956  40.0
22.973  40.0
22.997  40.0
23.013  40.0
23.023  40.0
23.039  40.0
