Time  Force1  Force2
0.0  1.0  1.0
0.0  1.0  1.0
0.0  1.0  1.0
0.0  1.0  1.0
0.0  1.0  1.0
0.0  1.0  1.0
0.0  1.0  1.0
0.0  1.0  1.0
0.0  1.0  1.0
0.0  1.0  1.0
0.0  1.0  1.0
0.0  1.0  1.0
0.0  1.0  1.0
0.0  1.0  1.0
0.0  1.0  1.0
0.0  1.0  1.0
0.0  1.0  1.0
0.0  1.0  1.0
0.0  1.0  1.0
0.0  1.0  1.0
0.0  1.0  1.0
0.0  1.0  1.0
0.0  1.0  1.0
0.0  1.0  1.0
0.0  1.0  1.0
0.0  1.0  1.0
0.0  1.0  1.0
0.0  1.0  1.0
0.0  1.0  1.0
0.0  1.0  1.0
0.0  1.0  1.0
0.0  1.0  1.0
0.0  1.0  1.0
0.0  1.0  1.0
0.0  1.0  1.0
0.0  1.0  1.0
0.0  1.0  1.0
0.0  1.0  1.0
0.0  1.0  1.0
0.0  1.0  1.0
0.0  1.0  1.0
0.0  1.0  1.0
0.0  1.0  1.0
0.0  1.0  1.0
0.0  1.0  1.0
0.0  1.0  1.0
0.0  1.0  1.0
0.0  1.0  1.0
0.0  1.0  1.0
0.0  1.0  1.0
0.0  1.0  1.0
0.0  1.0  1.0
0.0  1.0  1.0
0.0  1.0  1.0
0.0  1.0  1.0
0.0  1.0  1.0
0.0  1.0  1.0
0.0  1.0  1.0
0.0  1.0  1.0
0.0  1.0  1.0
0.0  1.0  1.0
0.0  1.0  1.0
0.0  1.0  1.0
0.0  1.0  1.0
0.0  1.0  1.0
0.0  1.0  1.0
0.0  1.0  1.0
0.0  1.0  1.0
0.0  1.0  1.0
0.0  1.0  1.0
0.0  1.0  1.0
0.0  1.0  1.0
0.0  1.0  1.0
0.0  1.0  1.0
0.0  1.0  1.0
0.0  1.0  1.0
0.0  1.0  1.0
0.0  1.0  1.0
0.0  1.0  1.0
0.0  1.319648  1.368524
0.0  1.319648  1.368524
0.0  1.2707722  1.2218964
0.0  1.1094819  1.0703813
0.0  1.0166178  1.319648
0.0  1.0215054  1.1632453
0.0  1.0215054  1.1632453
0.0  1.3538612  1.3880743
0.0  1.3000977  1.4418377
0.0  1.2170088  1.4369501
0.0  1.2170088  1.4369501
0.0  1.1192571  1.3978494
0.0  1.0117302  1.319648
0.0  1.202346  0.9824047
0.0  1.1876832  1.0508308
0.0  1.0557185  1.0654937
0.0  1.0557185  1.0654937
0.0  0.5962854  0.44477028
0.0  0.5522972  0.3079179
0.0  0.19061583  0.19061583
0.0  0.19061583  0.19061583
0.0  0.25415444  0.48875856
0.0  0.22482894  0.18084066
0.0  0.51808405  0.27859238
0.0  0.37634408  0.45943305
0.0  0.0  0.0
0.0  0.0  0.0
0.0  0.024437927  0.0
0.0  0.048875853  0.0
0.0  0.0  0.019550342
0.0  0.0  0.0
0.0  0.0  0.0
0.0  0.0  0.039100684
0.0  0.21016619  0.5034213
0.0  0.16129032  0.46432063
0.0  0.16129032  0.46432063
0.0  0.16129032  0.4692082
0.0  0.21016619  0.5083089
0.0  0.400782  0.58651024
0.0  0.400782  0.58651024
0.0  0.4740958  0.49853373
0.0  0.42033237  0.2346041
0.0  0.22482894  0.009775171
0.0  0.009775171  0.0
0.0  0.009775171  0.0
0.0  1.4907136  0.35679373
0.0  0.19550341  0.5474096
0.0  0.5034213  0.4349951
0.0  1.3000977  0.49853373
0.0  1.3000977  0.49853373
0.0  0.6304985  1.8084067
0.0  0.32258064  1.2072335
0.0  0.28836754  0.71847504
0.0  0.5278593  0.48875856
0.0  0.5278593  0.48875856
0.0  1.0068426  1.8914956
0.0  0.58162266  1.6129031
0.0  2.3509285  1.4467252
0.0  2.3509285  1.4467252
0.0  2.3167155  1.9648094
0.0  1.9794722  2.1309874
0.0  1.5640273  2.0674486
0.0  1.0410557  1.9159335
0.0  1.0410557  1.9159335
0.0  2.0430107  0.9872923
0.0  0.31769305  0.7038123
0.0  0.5767351  0.53763443
0.0  0.5767351  0.53763443
0.0  0.86021507  0.49853373
0.0  1.3343109  0.5522972
0.0  0.5278593  1.6129031
0.0  0.19061583  1.0557185
0.0  0.19061583  1.0557185
0.0  0.40566957  0.7331378
0.0  0.7478006  0.5962854
0.0  1.4467252  2.194526
0.0  1.0263929  2.028348
0.0  1.0263929  2.028348
0.0  0.6060606  1.7546432
0.0  2.7321603  1.886608
0.0  2.478006  2.380254
0.0  2.478006  2.380254
0.0  1.2805474  0.71847504
0.0  1.7350929  0.83577716
0.0  2.1456501  1.0606061
0.0  2.5268817  1.3147604
0.0  2.5268817  1.3147604
0.0  0.49364614  0.9628543
0.0  0.6793744  0.73802537
0.0  1.0312805  0.684262
0.0  1.0312805  0.684262
0.0  1.285435  2.194526
0.0  0.80645156  1.9257087
0.0  0.4154448  1.3147604
0.0  2.605083  2.262952
0.0  2.605083  2.262952
0.0  2.1652005  2.3167155
0.0  1.6813295  2.228739
0.0  1.8817204  0.8504399
0.0  1.8817204  0.8504399
0.0  2.262952  1.1143695
0.0  2.6979473  1.7497556
0.0  0.742913  0.684262
0.0  1.0703813  0.659824
0.0  1.0703813  0.659824
0.0  1.603128  0.7673509
0.0  2.0185728  0.9481916
0.0  2.4095795  1.226784
0.0  0.43010753  0.8162267
0.0  0.43010753  0.8162267
0.0  0.8504399  0.684262
0.0  1.5640273  2.28739
0.0  1.0606061  2.1212122
0.0  1.0606061  2.1212122
0.0  0.6060606  1.8084067
0.0  0.28836754  1.1632453
0.0  2.746823  2.253177
0.0  2.3998044  2.42913
0.0  1.3831867  0.6744868
0.0  1.7595308  0.81133914
0.0  1.7595308  0.81133914
0.0  2.1212122  1.1290323
0.0  0.342131  1.1534702
0.0  0.5278593  0.9384164
0.0  0.75268817  0.7233626
0.0  0.75268817  0.7233626
0.0  1.0948192  0.69403714
0.0  1.226784  2.2385142
0.0  0.7282502  1.9110459
0.0  0.35679373  1.2952101
0.0  0.35679373  1.2952101
0.0  2.6930597  2.4437928
0.0  2.2336266  2.4584556
0.0  1.6568916  2.3704789
0.0  1.1192571  2.1896384
0.0  1.1192571  2.1896384
0.0  0.65004885  1.8817204
0.0  2.898338  1.9305962
0.0  0.8504399  0.65493643
0.0  1.2561095  0.58162266
0.0  1.2561095  0.58162266
0.0  1.7644184  0.65493643
0.0  2.2189639  0.9139785
0.0  2.605083  1.2218964
0.0  2.605083  1.2218964
0.0  0.29325512  0.5669599
0.0  0.8162267  0.28347996
0.0  0.48875856  2.0821114
0.0  0.0  0.6402737
0.0  0.0  0.6402737
0.0  1.6568916  2.678397
0.0  0.6060606  2.2580645
0.0  2.9081132  1.6080155
0.0  2.7272727  2.478006
0.0  2.7272727  2.478006
0.0  1.8132943  2.8103616
0.0  0.7086999  2.453568
0.0  2.9863148  1.5493646
0.0  2.9863148  1.5493646
0.0  0.48387095  0.2052786
0.0  1.8035191  0.27859238
0.0  2.9178884  1.3880743
0.0  2.9178884  1.3880743
0.0  0.39100683  0.2737048
0.0  0.6158358  2.3509285
0.0  3.0009775  1.7595308
0.0  3.0009775  1.7595308
0.0  2.6832845  2.6197457
0.0  1.710655  2.805474
0.0  2.4731183  0.7917888
0.0  2.4731183  0.7917888
0.0  2.9667642  1.6764419
0.0  0.5474096  0.22971652
0.0  1.4369501  0.13196482
0.0  1.4369501  0.13196482
0.0  2.3509285  0.6158358
0.0  0.0048875855  0.23949169
0.0  0.84066474  2.521994
0.0  0.35679373  1.6715543
0.0  0.35679373  1.6715543
0.0  0.014662757  0.4496579
0.0  1.0899316  2.6930597
0.0  0.1710655  1.368524
0.0  1.8132943  2.6539588
0.0  1.8132943  2.6539588
0.0  0.2737048  1.5200391
0.0  2.0821114  2.7028348
0.0  2.3900292  0.7038123
0.0  2.9374387  1.603128
0.0  2.9374387  1.603128
0.0  2.7321603  2.5317693
0.0  1.4760507  0.11241447
0.0  2.3607037  0.66959924
0.0  2.9521015  1.5689149
0.0  2.9521015  1.5689149
0.0  0.46432063  0.19061583
